Company Name,Industry,Symbol,Series,ISIN Code,SEBI Sector,NSE Sectoral Index,Market Cap Category (SEBI),F&O Eligible,Listing Date (NSE),Delisting Status
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,Financial Services,Nifty Financial Services,Small Cap,No,21-Sep-22,Active
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,Diversified,Nifty 500,Small Cap,No,08-Feb-04,Active
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,Capital Goods,Nifty India Manufacturing,Large Cap,Yes,01-Jan-95,Active
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,Construction Materials,Nifty Infrastructure,Mid Cap,Yes,01-Jan-94,Active
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,Power,Nifty Energy,Small Cap,No,05-Dec-24,Active
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,27-Jan-04,Active
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,Capital Goods,Nifty India Manufacturing,Small Cap,No,27-Oct-04,Active
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,Banking,Nifty Bank,Small Cap,Yes,10-Jul-17,Active
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,FMCG,Nifty FMCG,Small Cap,No,13-Sep-21,Active
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,Financial Services,Nifty Financial Services,Mid Cap,No,12-May-22,Active
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,Chemicals,Nifty Chemicals,Mid Cap,No,14-Dec-95,Active
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,Financial Services,Nifty Financial Services,Mid Cap,No,08-Oct-18,Active
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,01-Jan-95,Active
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,Capital Goods,Nifty India Manufacturing,Mid Cap,No,31-Dec-07,Active
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025,Pharmaceuticals,Nifty Pharma,Small Cap,No,22-Nov-24,Active
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,Power,Nifty Energy,Small Cap,No,22-Jun-18,Active
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,Metals & Mining,Nifty Metal,Large Cap,Yes,09-Jun-94,Active
